date,county,fips,cases,deaths,never,rarely,sometimes,frequently,always,year,region,population,prop_diabetes,chd_hosp,ob_prev_adj,hypertension_hosp,prop_edu_less_high_school,prop_edu_less_college,prop_food_stamp_snap_recip,median_hhi,income_inequal,prop_poverty,unemployment_rate,annual_pm2_5,prop_uninsured,prop_medicaid_eligible,p_nonwhite,p_white,pop_per_sq_mile,housing_per_sq_mile,prevalence
2020-07-02,Alamance,37001,1179,37,0.04,0.073,0.126,0.175,0.586,2020,Central North Carolina,172329,11,76.9,31.9,141.2,15.1,77.1,15.9,46.1,0.459,16.1,4.1,10.5,13.9,20.9,35.75007810810161,64.24992189189838,356.5,157,0.006841564681510367
2020-07-02,Alexander,37003,101,1,0.027,0.023,0.103,0.272,0.575,2020,Western North Carolina,36373,16.2,74,30.7,132.1,18.1,86.1,14.1,46.4,0.44,15,3.5,10.1,12.9,20.6,12.488956710304393,87.5110432896956,143.1,62.3,0.0027767849778681988
2020-07-02,Alleghany,37005,36,0,0.153,0.067,0.067,0.21,0.504,2020,Western North Carolina,10929,8.1,50.4,28.6,91.3,21.1,81.3,16.9,36,0.418,20.6,4.7,8.7,16.8,23.8,12.85727085386614,87.14272914613386,47.5,34.4,0.0032939884710403516
2020-07-02,Anson,37007,138,1,0.053,0.062,0.08,0.163,0.641,2020,Central North Carolina,22046,17,84.9,35.8,177.8,19.9,90.8,25.3,35.8,0.441,25.1,5.2,10.2,13.2,29.1,55.324195039594805,44.67580496040519,50.7,21.8,0.006259638936768575
2020-07-02,Ashe,37009,54,1,0.149,0.026,0.083,0.287,0.455,2020,Western North Carolina,26562,14.3,48.8,28.3,85.2,15.1,80.5,16.7,39.7,0.451,16.1,4,8.5,16.1,22.1,7.112029215389723,92.88797078461027,64,40.7,0.0020329794443189517
2020-07-02,Avery,37011,13,0,0.096,0.01,0.212,0.173,0.509,2020,Western North Carolina,17696,16.4,53.3,29.6,91.5,19.5,79.8,13.7,38.1,0.496,19.7,4.2,8.5,18.5,20.1,10.93401885175664,89.06598114824335,72,56.2,7.34629294755877e-4
2020-07-02,Beaufort,37013,93,0,0.037,0.08,0.041,0.219,0.623,2020,Eastern North Carolina,44531,8.2,74.3,36,155.4,14.1,80.4,21.4,41.4,0.473,19,4.9,9.2,13,26.2,33.75815119267614,66.24184880732386,57.7,29.8,0.002088432777166468
2020-07-02,Bertie,37015,146,4,0.1,0.04,0.064,0.214,0.582,2020,Eastern North Carolina,17776,17.6,69.2,37.9,154.5,23.9,87.7,27.6,33.8,0.475,24.4,5.8,9.1,12.8,31.4,64.94270997582255,35.05729002417744,30.4,14,0.008213321332133214
2020-07-02,Bladen,37017,384,3,0.073,0.023,0.076,0.104,0.724,2020,Eastern North Carolina,29506,16.3,100.7,40.3,171,20.8,85.5,23.2,33.6,0.49,26.4,5.6,10,16.6,30.4,44.658029526965954,55.34197047303404,40.2,20.3,0.013014302175828645
2020-07-02,Brunswick,37019,574,8,0.024,0.018,0.036,0.248,0.673,2020,Eastern North Carolina,138726,9.2,70.1,29.4,135.7,10.9,72,13.5,51.5,0.443,13.8,5,9.3,14.6,19.4,16.976978880243372,83.02302111975662,126.8,91.5,0.0041376526390150365
2020-07-02,Buncombe,37021,624,38,0.009,0.023,0.044,0.23,0.693,2020,Western North Carolina,269994,7,48.7,22,106,9.2,61.5,14.3,50.5,0.463,13.5,3.3,9,11.3,20.4,15.314373048555979,84.68562695144402,362.9,172.6,0.0023111624702771174
2020-07-02,Burke,37023,1057,20,0.091,0.056,0.124,0.189,0.54,2020,Western North Carolina,87779,7,69.3,32.5,135,19.5,83.3,16.3,41.4,0.452,17.7,4.1,10.1,14.2,22.7,17.60859463167445,82.39140536832555,179.3,80.6,0.012041604483988198
2020-07-02,Cabarrus,37025,1187,33,0.04,0.022,0.092,0.27,0.576,2020,Central North Carolina,227574,10.9,73.1,31.8,153.5,10.9,70,12.6,63.1,0.426,11,4,11,9.8,18.9,34.211373035175214,65.78862696482479,492.1,198.9,0.005215885821754682
2020-07-02,Caldwell,37027,452,4,0.028,0.031,0.072,0.199,0.67,2020,Western North Carolina,80828,16.4,78.5,33.7,143,21.3,85.2,18.3,39.2,0.448,17.1,4.3,9.9,13.9,24.6,11.910421923953724,88.08957807604627,176.1,79.9,0.005592121542039887
2020-07-02,Camden,37029,30,0,0.091,0.025,0.121,0.188,0.575,2020,Eastern North Carolina,10402,9.1,91.2,31.8,173.6,14.7,81.9,8.8,65.4,0.374,8.7,4.2,8.4,10.3,14.3,18.384687208216622,81.61531279178338,41.5,17.1,0.0028840607575466256
2020-07-02,Carteret,37031,91,3,0.01,0.067,0.167,0.197,0.56,2020,Eastern North Carolina,68024,8.3,86.9,27.7,142.3,9.2,73.3,13.3,51.6,0.459,12.3,4.2,8.7,12.3,16.8,12.341062079281974,87.65893792071803,131.3,95.2,0.0013377631424203223
2020-07-02,Caswell,37033,141,1,0.06,0.035,0.199,0.179,0.527,2020,Central North Carolina,22654,4.5,84.6,30.8,172.9,22.4,86.3,21.4,40.6,0.455,19.7,4.6,10.2,13.2,25.4,38.05621640673187,61.94378359326813,55.8,25,0.006224066390041493
2020-07-02,Catawba,37035,826,12,0.035,0.07,0.13,0.214,0.551,2020,Western North Carolina,161167,8.8,54.6,30.4,111.2,16,78.5,17,49.5,0.46,12.7,4,10.5,13,21.4,23.6908453722613,76.30915462773869,387.1,170.3,0.005125118665731818
2020-07-02,Chatham,37037,964,43,0.007,0.025,0.063,0.139,0.766,2020,Central North Carolina,76476,8.6,51,26.7,102.8,12.7,59.9,9.2,63.3,0.491,11.7,3.7,10.3,13.5,14.3,27.308276022368368,72.69172397763163,93.1,42.1,0.012605261781473927
2020-07-02,Cherokee,37039,45,2,0.085,0.109,0.101,0.147,0.557,2020,Western North Carolina,28761,9.5,48.9,28.8,76.1,15.1,80.8,17.4,37.2,0.421,18.4,4.7,9,15.4,24.5,7.550294190184265,92.44970580981573,60.3,38.5,0.0015646187545634714
2020-07-02,Chowan,37041,25,0,0.044,0.011,0.152,0.296,0.497,2020,Eastern North Carolina,13690,13.1,63.9,33.8,106,16.1,81,21.7,41.2,0.446,18.9,5.5,8.6,12.1,26.9,39.51101290184618,60.48898709815382,85.8,42.3,0.0018261504747991235
2020-07-02,Clay,37043,10,0,0.099,0.091,0.095,0.169,0.546,2020,Western North Carolina,11123,3.7,40.4,29.1,73.4,10.8,76.9,16.9,37.6,0.482,15.3,4.4,8.5,15.1,23.8,6.176496992548703,93.8235030074513,49.3,33.2,8.990380293086397e-4
2020-07-02,Cleveland,37045,324,4,0.062,0.121,0.094,0.151,0.573,2020,Western North Carolina,99474,13.2,70.4,31.3,149.6,16,83.5,24.6,38.7,0.468,20.6,4.5,10.6,12,28.7,26.29832556710533,73.70167443289468,211.3,93.4,0.0032571325170396284
