"","housing_per_sq_mile","never","avg_prevalence","prop_poverty","p_nonwhite","prop_diabetes","chd_hosp","ob_prev_adj","hypertension_hosp","prop_edu_less_high_school","prop_uninsured","pop_per_sq_mile"
"1",445.2,0.015,0.0110887816748426,9.2,39.1068428689789,8.4,59.9,23.8,125.1,7.5,9.2,1078.8
"2",42.1,0.007,0.0160707921482848,11.7,27.3082760223684,8.6,51,26.7,102.8,12.7,13.5,93.1
"3",198.9,0.04,0.0132718834015324,11,34.2113730351752,10.9,73.1,31.8,153.5,10.9,9.8,492.1
"4",384.4,0.02,0.0150007046987333,17.5,42.6516556361267,10,67.3,33.1,149,11.5,12.4,859.2
"5",85.5,0.032,0.0157395285568853,13.2,31.7829036635007,8.8,119,32.6,186.1,14.4,12.9,213.4
"6",760.7,0.029,0.0187019383844134,12.3,52.6797214738811,8.7,53.8,26,128.2,10.1,12.1,1755.5
"7",89.4,0.039,0.00918713524164801,13.7,32.3472428079299,11,89.5,28.7,161.2,8.6,9.6,233.1
"8",95.7,0.017,0.0233938300755681,20.6,46.031578605738,15.3,80.4,34.4,165.5,16.5,14.7,221.7
"9",91.5,0.024,0.00931270760901286,13.8,16.9769788802434,9.2,70.1,29.4,135.7,10.9,14.6,126.8
"10",63.5,0.034,0.0122991160402473,15.3,33.125388681592,14.1,69.5,30.8,139.1,12.3,11.9,146
"11",78.5,0.031,0.0125555940460721,16.1,37.6249869611218,11.6,118.6,33.5,210.4,13.8,12.5,192.7
"12",102.8,0.062,0.0121873601172661,24.3,7.38225042452409,6.8,68.3,22.2,127.1,11.4,13.2,163.4
"13",96.5,0.013,0.0219853555166174,22.3,52.5136578478915,12.3,88.9,31.6,177.2,19.3,13.6,220.6
"14",420.4,0.017,0.0177172768445568,16.1,56.616015078661,6.7,62.4,26.2,134.7,12.3,12.8,935.7
"15",120.3,0.08,0.0125489504399289,10.6,23.2757026368145,10.4,66.6,29.3,148.2,11.3,12.1,277.8
"16",28.8,0.006,0.0281332640628542,19.6,48.9721183164115,13.1,111.5,31.9,197.3,22.7,18.8,67.1
"17",249.1,0.038,0.0182393411343873,15.7,27.0455830483832,9.1,71.4,30.3,154.1,15.9,11.5,578.8
"18",337.6,0.04,0.0129166822790379,18.3,49.3213034272116,8.7,65.2,32.9,142.1,11.1,11.4,756.4
"19",46.6,0.009,0.0168653736265713,19.5,59.4806807391717,12.7,116.8,32.1,231.6,14.6,16.2,120.2
"20",112.9,0.029,0.0151914918006263,12.7,14.0635072221559,10.1,71.7,31.1,149.4,15.6,11.1,262.7
"21",63,0.039,0.0130142491993096,11.4,21.7800612067044,8.6,71.6,28,141.7,9.8,11.5,126.5
"22",529.6,0.019,0.0131094720257119,17.3,21.6274744482809,6.8,73,24,149.2,7.7,10.9,1058.1
"23",95.2,0.01,0.00931701293374218,12.3,12.341062079282,8.3,86.9,27.7,142.3,9.2,12.3,131.3
"24",131.5,0.058,0.0135988899995411,15.4,19.3489142569052,13.4,75.9,32.5,153.2,16.6,13,294.7
"25",54.1,0.038,0.0134374546634159,15.3,35.7208407341622,7.1,76.1,34.5,163.6,15.8,13.1,123.3
"26",139.7,0.01,0.0121896005130459,12.8,29.4466091887117,5.6,46.9,24.5,99.8,7.4,10.2,336.2
