County;Variable;Year;Region;Council of Government Region;Metropolitan Statistical Area (2013);Value;Vintage;Estimate/Projection;fips
Alamance;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Burlington;172329;2022;Estimate;37001
Beaufort;Total Population;2020;Eastern North Carolina;Mid-East Commission;Non-Metropolitan;44531;2022;Estimate;37013
Brunswick;Total Population;2020;Eastern North Carolina;Cape Fear Council of Governments;Wilmington;138726;2022;Estimate;37019
Burke;Total Population;2020;Western North Carolina;Western Piedmont Council of Governments;Hickory-Lenoir-Morganton;87779;2022;Estimate;37023
Camden;Total Population;2020;Eastern North Carolina;Albermarle Commission;Virginia Beach-Chesapeake-Norfolk (NC);10402;2022;Estimate;37029
Carteret;Total Population;2020;Eastern North Carolina;Eastern Carolina Council of Governments;Non-Metropolitan;68024;2022;Estimate;37031
Cabarrus;Total Population;2020;Central North Carolina;Centralina Council of Governments;Charlotte-Concord-Gastonia (NC);227574;2022;Estimate;37025
Craven;Total Population;2020;Eastern North Carolina;Eastern Carolina Council of Governments;Non-Metropolitan;101181;2022;Estimate;37049
Cumberland;Total Population;2020;Eastern North Carolina;Mid-Carolina Council of Governments;Fayetteville;336494;2022;Estimate;37051
Davidson;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Winston-Salem;169638;2022;Estimate;37057
Duplin;Total Population;2020;Eastern North Carolina;Eastern Carolina Council of Governments;Non-Metropolitan;48591;2022;Estimate;37061
Greene;Total Population;2020;Eastern North Carolina;Eastern Carolina Council of Governments;Non-Metropolitan;20331;2022;Estimate;37079
Anson;Total Population;2020;Central North Carolina;Centralina Council of Governments;Charlotte-Concord-Gastonia (NC);22046;2022;Estimate;37007
Harnett;Total Population;2020;Eastern North Carolina;Mid-Carolina Council of Governments;Non-Metropolitan;133912;2022;Estimate;37085
Avery;Total Population;2020;Western North Carolina;High Country Council of Governments;Non-Metropolitan;17696;2022;Estimate;37011
Henderson;Total Population;2020;Western North Carolina;Land-of-Sky Regional Council;Asheville;116567;2022;Estimate;37089
Bladen;Total Population;2020;Eastern North Carolina;Lumber River Council of Governments;Non-Metropolitan;29506;2022;Estimate;37017
Hertford;Total Population;2020;Eastern North Carolina;Mid-East Commission;Non-Metropolitan;21258;2022;Estimate;37091
Hyde;Total Population;2020;Eastern North Carolina;Albermarle Commission;Non-Metropolitan;4589;2022;Estimate;37095
Caldwell;Total Population;2020;Western North Carolina;Western Piedmont Council of Governments;Hickory-Lenoir-Morganton;80828;2022;Estimate;37027
Catawba;Total Population;2020;Western North Carolina;Western Piedmont Council of Governments;Hickory-Lenoir-Morganton;161167;2022;Estimate;37035
Cherokee;Total Population;2020;Western North Carolina;Southwestern Commission;Non-Metropolitan;28761;2022;Estimate;37039
Lee;Total Population;2020;Central North Carolina;Triangle J Council of Governments;Non-Metropolitan;63551;2022;Estimate;37105
Madison;Total Population;2020;Western North Carolina;Land-of-Sky Regional Council;Asheville;21181;2022;Estimate;37115
McDowell;Total Population;2020;Western North Carolina;Isothermal Planning and Development Commission;Non-Metropolitan;44471;2022;Estimate;37111
Dare;Total Population;2020;Eastern North Carolina;Albermarle Commission;Non-Metropolitan;37137;2022;Estimate;37055
Alexander;Total Population;2020;Western North Carolina;Western Piedmont Council of Governments;Hickory-Lenoir-Morganton;36373;2022;Estimate;37003
Ashe;Total Population;2020;Western North Carolina;High Country Council of Governments;Non-Metropolitan;26562;2022;Estimate;37009
Onslow;Total Population;2020;Eastern North Carolina;Eastern Carolina Council of Governments;Jacksonville;205421;2022;Estimate;37133
Granville;Total Population;2020;Central North Carolina;Kerr-Tar Council of Governments;Non-Metropolitan;60931;2022;Estimate;37077
Person;Total Population;2020;Central North Carolina;Kerr-Tar Council of Governments;Durham-Chapel Hill;39082;2022;Estimate;37145
Halifax;Total Population;2020;Eastern North Carolina;Upper Coastal Plain Council of Governments;Non-Metropolitan;48431;2022;Estimate;37083
Polk;Total Population;2020;Western North Carolina;Isothermal Planning and Development Commission;Non-Metropolitan;19363;2022;Estimate;37149
Hoke;Total Population;2020;Eastern North Carolina;Lumber River Council of Governments;Fayetteville;52507;2022;Estimate;37093
Iredell;Total Population;2020;Central North Carolina;Centralina Council of Governments;Charlotte-Concord-Gastonia (NC);188271;2022;Estimate;37097
Clay;Total Population;2020;Western North Carolina;Southwestern Commission;Non-Metropolitan;11123;2022;Estimate;37043
Washington;Total Population;2020;Eastern North Carolina;Albermarle Commission;Non-Metropolitan;10928;2022;Estimate;37187
Swain;Total Population;2020;Western North Carolina;Southwestern Commission;Non-Metropolitan;14098;2022;Estimate;37173
Currituck;Total Population;2020;Eastern North Carolina;Albermarle Commission;Virginia Beach-Chesapeake-Norfolk (NC);28424;2022;Estimate;37053
Union;Total Population;2020;Central North Carolina;Centralina Council of Governments;Charlotte-Concord-Gastonia (NC);239915;2022;Estimate;37179
Forsyth;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Winston-Salem;383864;2022;Estimate;37067
Wayne;Total Population;2020;Eastern North Carolina;Eastern Carolina Council of Governments;Goldsboro;116967;2022;Estimate;37191
Northampton;Total Population;2020;Eastern North Carolina;Upper Coastal Plain Council of Governments;Non-Metropolitan;17344;2022;Estimate;37131
Graham;Total Population;2020;Western North Carolina;Southwestern Commission;Non-Metropolitan;8006;2022;Estimate;37075
Pasquotank;Total Population;2020;Eastern North Carolina;Albermarle Commission;Non-Metropolitan;40668;2022;Estimate;37139
Haywood;Total Population;2020;Western North Carolina;Southwestern Commission;Asheville;62281;2022;Estimate;37087
Randolph;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Greensboro-High Point;143945;2022;Estimate;37151
Scotland;Total Population;2020;Eastern North Carolina;Lumber River Council of Governments;Non-Metropolitan;34051;2022;Estimate;37165
Tyrrell;Total Population;2020;Eastern North Carolina;Albermarle Commission;Non-Metropolitan;3264;2022;Estimate;37177
Caswell;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Non-Metropolitan;22654;2022;Estimate;37033
Wake;Total Population;2020;Central North Carolina;Triangle J Council of Governments;Raleigh;1135587;2022;Estimate;37183
Wilkes;Total Population;2020;Western North Carolina;High Country Council of Governments;Non-Metropolitan;65764;2022;Estimate;37193
Wilson;Total Population;2020;Eastern North Carolina;Upper Coastal Plain Council of Governments;Non-Metropolitan;78859;2022;Estimate;37195
New Hanover;Total Population;2020;Eastern North Carolina;Cape Fear Council of Governments;Wilmington;226885;2022;Estimate;37129
Yancey;Total Population;2020;Western North Carolina;High Country Council of Governments;Non-Metropolitan;18433;2022;Estimate;37199
Davie;Total Population;2020;Central North Carolina;Piedmont Triad Council of Governments;Winston-Salem;42818;2022;Estimate;37059
Orange;Total Population;2020;Central North Carolina;Triangle J Council of Governments;Durham-Chapel Hill;148613;2022;Estimate;37135
Gates;Total Population;2020;Eastern North Carolina;Albermarle Commission;Virginia Beach-Chesapeake-Norfolk (NC);10437;2022;Estimate;37073
Bertie;Total Population;2020;Eastern North Carolina;Mid-East Commission;Non-Metropolitan;17776;2022;Estimate;37015
