StateID,State,adh_AUGavg,adh_JULavg,adh_JUNEavg,adh_MAYavg,adh_APRavg,Pop_2019,Hispanic,NHBlack,NHWhite,Age,PopDensity,DistancePolicy,tot_Cases_Jul,DistanceNone,DistanceStrict,DistCat,tot_cases_Apr,tot_cases_May,tot_cases_Jun,tot_cases_Aug,tot_cases_Sep,newCases_May,newCases_Jun,newCases_Jul,newCases_Aug,newCases_Sep,case_rate_May,case_rate_Jun,case_rate_Jul,case_rate_Aug,case_rate_Sep,EndStayHome,NoStayHomePolicy,NoHomeMay,MaskPolStart,MaskJunPol,MaskJulPol,MaskAugPol,MaskSepPol,MaskPolStop,tot_cases_Oct,newCases_Oct,case_rate_Oct,AdhSEPavg,Wk_case_rate_Sep,Wk_case_rate_Oct,Wk_case_rate_Aug,Wk_case_rate_Jul,Wk_case_rate_Jun,Wk_case_rate_May,Wk_MayHI,Wk_JunHI,Wk_JulHI,Wk_AugHI,Wk_SepHI,Wk_OctHI,maskGT75,maskSEP75,maskJUL75,maskAUG75,strictJunPol,strictJulPol,strictSeplPol,strictSepPol,strictAuglPol,strictAugPol
1,Alabama,65.35483871,62.67741935,27.6,30.13,24.67,4903185,4.1,26.7,65.5,39.3,94.4,Recommen,87867,0,1,3,7306,18245,38064,126058,154701,10939,19819,49803,38191,28643,223.099883035211,404.206653430372,1015.72753220611,778.901877045227,584.171309057276,4/30/2020,0,1,7/16/2020,0,1,1,1,0,192285,37584,766.522168753575,59.83,265.532413207853,348.419167615262,354.04630774783,461.694332820958,183.730297013806,101.409037743278,0,0,1,1,1,1,0,0,0,0,0,0,0, ,0, 
2,Alaska,56.83870968,57.4516129,46.03,42.42,33.3,731545,7,2.9,60.6,34.9,1.2,Recommen,2990,0,1,3,355,460,940,5263,7824,105,480,2050,2273,2561,14.3531840146539,65.6145554955608,280.228830762291,310.712259669603,350.08099296694,4/24/2020,0,1,4/24/2020,1,1,1,1, ,15274,7450,1018.39258008735,52.33,159.127724075882,462.905718221522,141.232845304365,127.376741255587,29.8247979525276,6.52417455211542,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
3,Arizona,87.25806452,83.12903226,21.77,17.55,14.9,7278717,31.4,4.1,54.7,38,63,Recommen,174010,0,1,3,7648,19936,79215,201835,218507,12288,59279,94795,27825,16672,168.820961166645,814.415507568161,1302.35864370053,382.278909868319,229.051356166203,5/16/2020,0,0,0,0,0,0,0,0,245946,27439,376.97577746188,67.97,104.11425280282,171.352626119036,173.763140849236,591.98120168206,370.188867076437,76.7368005302933,0,1,1,0,0,0,1,0,1,1,0,0,0, ,0, 
4,Arkansas,59,58.25806452,36.9,38.19,27.57,3017804,7.4,15.2,72.3,38.1,56,None,42511,1,0,1,3255,7253,20777,61224,83697,3998,13524,21734,18713,22473,132.480439418862,448.14043589312,720.19256386432,620.086659040812,744.680569049547,0,1,1,7/20/2020,0,1,1,1,0,112190,28493,944.163371776298,60.2,338.491167749794,429.165168989226,281.857572291278,327.360256301964,203.700198133236,60.2183815540283,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
5,California,74.61290323,74.29032258,48.7,45.23,38.07,39512223,39.1,5.5,37,36.7,251.3,Recommen,493588,0,1,3,48917,110583,222917,704085,810625,61666,112334,270671,210497,106540,156.06816149018,284.301898174648,685.031059882406,532.738945110732,269.638081360292,0,0,0,6/18/2020,1,1,1,1,0,922005,111380,281.887455433727,72.47,122.562764254678,128.130661560785,242.154065959424,311.377754492003,129.228135533931,70.9400734046272,0,0,1,1,0,0,0,0,0,0,0,0,0, ,0, 
6,Colorado,61.70967742,61.12903226,48,45.71,31.1,5758736,21.5,3.9,68.2,36.9,52,Recommen,46809,0,1,3,15182,26378,32715,57424,70536,11196,6337,14094,10615,13112,194.41766387624,110.041509108943,244.741207098224,184.328644341397,227.688853942949,4/27/2020,0,1,7/16/2020,0,1,1,1,0,107350,36814,639.272229183626,63.57,103.494933610431,290.578285992557,83.7857474279078,111.246003226466,50.0188677767924,88.3716653982907,0,0,0,0,0,1,0,0,0,0,0,0,0, ,0, 
7,Connecticut,73.35483871,78.5483871,55.4,47.68,22.97,3565287,16.1,9.9,66.7,41.1,738.1,None,49810,1,0,1,27700,42201,46514,52879,57550,14501,4313,3296,3069,4671,406.727424748695,120.972028338813,92.446975516978,86.0800266570405,131.013295703824,0,1,1,4/20/2020,1,1,1,1,0,71207,13657,383.054716212187,71.37,59.5514980471928,174.115780096449,39.1272848441093,42.0213525077173,54.9872856085512,184.876102158498,0,0,0,0,0,0,1,0,1,0,0,0,0, ,0, 
8,Delaware,68.41935484,65.74193548,39.83,36.39,25.47,973764,9.3,21.5,62.2,41.1,460.8,Recommen,14877,0,1,3,4734,9606,11510,17535,20613,4872,1904,3367,2658,3078,500.326567833685,195.52992306144,345.771665413796,272.961415702367,316.093016377685,6/1/2020,0,0,4/28/2020,1,1,1,1,0,25126,4513,463.45931868502,70.9,143.678643808039,210.663326675009,124.073370773803,157.168938824453,88.8772377552,227.421167197129,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
9,District of Columbia,71.77419355,69.38709677,39.87,36.39,25.63,705749,11,45.3,36.5,33.9,10298,Recommen,12126,0,1,3,4323,8801,10327,13992,15326,4478,1526,1799,1866,1334,634.503201563162,216.22418168499,254.906489417626,264.399949557137,189.019042180719,5/29/2020,0,0,4/17/2020,1,1,1,1,0,17266,1940,274.885263741075,72.33,85.9177464457812,124.947847155034,120.181795253244,115.866586098921,98.2837189477227,288.410546165074,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
10,Florida,71.64516129,66.90322581,45.1,43.45,35.03,21477737,25.6,15.4,53.8,42.2,353.4,Baseline,465030,0,0,2,33690,54764,149781,616629,698051,21074,95017,315249,151599,81422,98.1202069845627,442.397632488004,1467.79430253755,705.842519628581,379.099529899263,5/18/2020,0,0,0,0,0,0,0,0,791997,93946,437.411073615437,65.93,172.317968136028,198.823215279744,320.837508922082,667.179228426161,201.089832949093,44.6000940838921,0,1,1,1,0,0,0,0,0,0,0,0,0, ,0, 
